shapeid,fromstop,tostop,fft,length
23a,1011,1010,2,0.12
23a,1010,1009,2,0.06
23a,1009,1008,2,0.17
23a,1008,1007,2,0.07
23a,1007,1006,2,0.1
23a,1006,1005,2,0.19
23a,1005,1004,2,0.15
23a,1004,1003,2,0.05
23a,1003,982,2,0.04
23b,982,981,2,0.17
23b,981,980,2,0.18
23b,980,979,2,0.09
23b,979,978,2,0.07
23b,978,977,2,0.17
23b,977,976,2,0.12
23b,976,975,2,0.06
23b,975,974,2,0.22
23b,974,973,2,0.08
23b,973,414,2,0.35
23b,414,415,2,0.23
23b,415,423,6,0.73
23b,423,9436,6,0.77
23b,9436,9437,6,0.37
23b,9437,498,6,0.53
23b,498,499,2,0.34
23b,499,500,2,0.34
23b,500,528,2,1.17
23b,528,529,2,0.21
23b,529,530,2,0.1
23b,530,531,2,0.76
23b,531,532,2,0.73
23b,532,533,2,0.44
23b,533,582,2,1.48
23b,582,581,2,0.24
23b,581,576,2,2.12
23b,576,575,2,0.86
23b,575,554,2,0.44
23b,554,555,2,0.36
23b,555,556,2,0.38
23b,556,557,2,1
23b,557,558,2,0.42
23b,558,559,2,0.5
23b,559,561,2,0.81
23b,561,560,2,0.56
23b,560,631,2,1.3
23b,631,629,2,0.44
23b,629,628,2,0.18
24a,721,722,5,0.63
24a,722,723,2,0.4
24a,723,718,2,0.55
24a,718,717,2,0.61
24a,717,715,2,0.51
24a,715,714,2,0.19
24a,714,716,2,0.36
24a,716,703,2,0.39
24a,703,676,2,0.4
24a,676,678,5,0.69
24a,678,606,2,0.74
24a,606,607,2,0.37
24a,607,608,2,0.22
24a,608,516,2,0.24
24a,516,517,2,0.22
24a,517,518,2,0.75
24a,518,519,2,0.38
24a,519,527,2,0.22
24a,527,533,2,0.77
24a,533,532,2,0.44
24a,532,531,2,0.73
24a,531,530,2,0.76
24a,530,529,2,0.1
24a,529,528,2,0.21
24a,528,500,2,1.17
24a,500,499,2,0.34
24a,499,498,2,0.34
24a,498,437,2,0.37
24a,437,436,2,0.46
24a,436,423,2,0.7
24a,423,415,2,0.73
24a,415,414,2,0.23
24a,414,973,2,0.35
24a,973,1012,2,0.2
24a,1012,1011,2,0.17
24a,1011,1010,2,0.12
24a,1010,1009,2,0.06
24a,1009,1008,2,0.17
24a,1008,1007,2,0.07
24a,1007,1006,2,0.1
24a,1006,1005,2,0.19
24a,1005,1004,2,0.15
24a,1004,1003,2,0.05
24a,1003,982,2,0.04
24b,982,981,2,0.17
24b,981,980,2,0.18
24b,980,979,2,0.09
24b,979,978,2,0.07
24b,978,977,2,0.17
24b,977,976,2,0.12
24b,976,975,2,0.06
24b,975,974,2,0.22
24b,974,973,2,0.08
24b,973,414,2,0.35
24b,414,415,2,0.23
24b,415,423,6,0.73
24b,423,9436,6,0.77
24b,9436,9437,6,0.37
24b,9437,498,6,0.53
24b,498,499,2,0.34
24b,499,500,2,0.34
24b,500,528,2,1.17
24b,528,529,2,0.21
24b,529,530,2,0.1
24b,530,531,2,0.76
24b,531,532,2,0.73
24b,532,533,2,0.44
24b,533,527,2,0.77
24b,527,519,2,0.22
24b,519,518,2,0.38
24b,518,517,2,0.75
24b,517,516,2,0.25
24b,516,608,2,0.24
24b,608,607,2,0.22
24b,607,670,2,0.37
24b,670,192,2,0.4
24b,192,671,5,0.09
24b,671,673,2,0.69
24b,673,713,2,0.4
24b,713,714,2,0.4
24b,714,715,2,0.19
24b,715,717,2,0.51
24b,717,718,2,0.61
24b,718,723,2,0.55
24b,723,722,2,0.4
24b,722,721,5,0.63
25a,229,233,5,1.52
25a,233,232,5,0.53
25a,232,237,5,0.55
25a,237,238,5,0.97
25a,238,241,5,1.28
25a,241,219,3,0.43
25a,219,221,3,0.27
25a,221,202,3,0.53
25a,202,203,3,0.08
25a,203,204,3,0.08
25a,204,205,3,0.26
25a,205,1056,3,0.11
25a,1056,1057,3,0.25
25a,1057,1058,3,0.64
25a,1058,1053,3,0.67
25a,1053,993,3,0.13
25a,993,992,3,0.1
25a,992,991,3,0.21
25a,991,990,3,0.13
25a,990,989,3,0.19
25a,989,988,3,0.16
25a,988,987,3,0.12
25a,987,986,3,0.1
25a,986,985,3,0.09
25a,985,984,3,0.09
25a,984,983,3,0.1
25a,983,982,3,0.06
25a,982,981,3,0.17
25a,981,980,3,0.18
25a,980,979,3,0.09
25a,979,978,3,0.07
25a,978,977,3,0.17
25a,977,976,3,0.12
25a,976,975,3,0.06
25a,975,970,3,0.1
25a,970,944,3,0.09
25a,944,941,3,0.11
25a,941,940,3,0.19
25b,940,945,3,0.1
25b,945,969,3,0.1
25b,969,977,3,0.11
25b,977,1009,3,0.09
25b,1009,1008,3,0.17
25b,1008,1007,3,0.07
25b,1007,1006,3,0.1
25b,1006,1005,3,0.19
25b,1005,1004,3,0.15
25b,1004,1002,3,0.13
25b,1002,1001,3,0.17
25b,1001,1000,3,0.05
25b,1000,999,3,0.04
25b,999,998,3,0.12
25b,998,997,3,0.15
25b,997,996,3,0.09
25b,996,995,3,0.11
25b,995,994,3,0.12
25b,994,993,3,0.21
25b,993,1053,3,0.13
25b,1053,1058,3,0.67
25b,1058,1057,3,0.64
25b,1057,1056,3,0.25
25b,1056,205,3,0.11
25b,205,204,3,0.26
25b,204,203,3,0.08
25b,203,202,3,0.08
25b,202,221,3,0.53
25b,221,219,3,0.27
25b,219,241,3,0.43
25b,241,238,5,1.28
25b,238,237,5,0.97
25b,237,232,5,0.55
25b,232,233,5,0.53
25b,233,229,5,1.52
26a,537,536,1,0.54
26a,536,535,1,0.44
26a,535,534,1,0.35
26a,534,533,1,0.42
26a,533,527,1,0.77
26a,527,519,1,0.22
26a,519,518,1,0.38
26a,518,517,1,0.75
26a,517,516,1,0.25
26a,516,608,1,0.24
26a,608,607,1,0.22
26a,607,606,1,0.37
26b,606,607,1,0.37
26b,607,608,1,0.22
26b,608,516,1,0.24
26b,516,517,1,0.22
26b,517,518,1,0.75
26b,518,519,1,0.38
26b,519,527,1,0.22
26b,527,533,1,0.77
26b,533,534,1,0.42
26b,534,535,1,0.35
26b,535,536,1,0.44
26b,536,537,1,0.54
27ae,461,465,5,1.27
27ae,465,469,5,1.04
27ae,469,462,2,0.64
27ae,462,457,2,0.72
27ae,457,456,2,0.87
27ae,456,455,2,0.87
27ae,455,434,2,0.18
27ae,434,454,2,0.13
27ae,454,452,1,0.75
27ae,452,451,1,1.04
27ae,451,445,1,0.72
27ae,445,444,1,0.22
27ae,444,443,1,0.33
27ae,443,442,1,0.22
27ae,442,441,1,0.45
27ae,441,440,1,0.52
27ae,440,438,1,0.24
27ae,438,437,1,0.71
27ae,437,436,1,0.46
27ae,436,423,1,0.7
27ae,423,415,1,0.73
27ae,415,414,1,0.23
27ae,414,973,1,0.35
27ae,973,1012,1,0.2
27ae,1012,1011,1,0.17
27ae,1011,1010,1,0.12
27ae,1010,1009,1,0.06
27ae,1009,1008,1,0.17
27ae,1008,978,1,0.1
27ae,978,968,1,0.09
27ae,968,967,1,0.17
27ae,967,966,1,0.16
27ae,966,965,1,0.2
27ae,965,949,1,0.1
27be,949,948,1,0.21
27be,948,947,1,0.14
27be,947,946,1,0.17
27be,946,945,1,0.17
27be,945,969,1,0.1
27be,969,977,1,0.11
27be,977,976,1,0.12
27be,976,975,1,0.06
27be,975,974,1,0.22
27be,974,973,1,0.08
27be,973,414,1,0.35
27be,414,415,1,0.23
27be,415,423,6,0.73
27be,423,9436,6,0.77
27be,9436,9437,6,0.37
27be,9437,9438,6,0.83
27be,9438,440,6,0.28
27be,440,441,1,0.52
27be,441,442,1,0.45
27be,442,443,1,0.22
27be,443,444,1,0.33
27be,444,445,1,0.22
27be,445,451,1,0.72
27be,451,452,1,1.04
27be,452,454,1,0.75
27be,454,434,2,0.13
27be,434,455,2,0.18
27be,455,456,2,0.87
27be,456,457,2,0.87
27be,457,462,2,0.72
27be,462,469,2,0.64
27be,469,465,5,1.04
27be,465,461,5,1.27
28a,179,191,1,0.8
28a,191,210,1,1.16
28a,210,209,1,0.5
28a,209,208,1,0.32
28a,208,207,1,0.33
28a,207,206,1,0.82
28b,206,207,1,0.82
28b,207,208,1,0.33
28b,208,209,1,0.32
28b,209,210,1,0.5
28b,210,191,1,1.16
28b,191,179,1,0.8
29a,247,288,2,0.88
29a,288,289,2,0.55
29a,289,320,2,0.46
29a,320,321,2,0.42
29a,321,322,2,0.8
29a,322,381,5,0.64
29a,381,387,5,1.14
29a,387,390,5,1.22
29a,390,401,5,0.9
29a,401,367,2,1.54
29a,367,360,2,1.31
29a,360,343,2,0.49
29a,343,347,2,1.89
29a,347,453,2,0.45
29a,453,454,2,0.63
29a,454,434,2,0.13
29a,434,458,2,1.58
29b,458,434,2,1.58
29b,434,454,2,0.13
29b,454,453,2,0.63
29b,453,347,2,0.45
29b,347,343,2,1.89
29b,343,360,2,0.49
29b,360,367,2,1.31
29b,367,401,2,1.54
29b,401,390,5,0.9
29b,390,387,5,1.22
29b,387,381,5,1.14
29b,381,322,5,0.64
29b,322,321,2,0.8
29b,321,320,2,0.42
29b,320,289,2,0.46
29b,289,288,2,0.55
29b,288,247,2,0.88
2a,1042,1060,2,0.24
2a,1060,1061,2,0.09
2a,1061,1062,2,0.04
2a,1062,1063,2,0.3
2a,1063,1064,2,0.29
2a,1064,299,2,0.29
2a,299,298,2,0.33
2a,298,297,2,0.59
2a,297,294,2,0.59
2a,294,293,2,0.42
2a,293,317,2,1.3
2a,317,318,2,0.42
2a,318,319,2,0.72
2a,319,320,2,0.8
2a,320,321,2,0.42
2a,321,322,2,0.8
2a,322,382,2,0.8
2a,382,385,2,0.77
2a,385,386,2,0.82
2a,386,397,2,0.85
2a,397,394,5,1.09
2a,394,390,5,0.91
2b,390,394,5,0.91
2b,394,397,5,1.09
2b,397,386,2,0.85
2b,386,385,2,0.82
2b,385,382,2,0.77
2b,382,322,2,0.8
2b,322,321,2,0.8
2b,321,320,2,0.42
2b,320,319,2,0.8
2b,319,318,2,0.72
2b,318,317,2,0.42
2b,317,293,2,1.3
2b,293,294,2,0.42
2b,294,297,2,0.59
2b,297,298,2,0.59
2b,298,299,2,0.33
2b,299,1064,2,0.29
2b,1064,1063,2,0.29
2b,1063,1061,2,0.31
2b,1061,1041,2,0.18
2b,1041,1042,2,0.12
30a,857,856,1,0.94
30a,856,855,1,0.82
30a,855,854,1,0.49
30a,854,853,1,0.54
30a,853,878,1,0.55
30a,878,876,1,0.42
30a,876,875,1,0.4
30a,875,874,1,0.81
30a,874,873,1,1.43
30a,873,872,1,0.84
30b,872,873,1,0.84
30b,873,874,1,1.43
30b,874,875,1,0.81
30b,875,876,1,0.4
30b,876,878,1,0.42
30b,878,853,1,0.55
30b,853,854,1,0.54
30b,854,855,1,0.49
30b,855,856,1,0.82
30b,856,857,1,0.94
31a,609,667,5,0.58
31a,667,666,5,0.42
31a,666,660,5,0.54
31a,660,661,2,0.35
31a,661,662,2,0.41
31a,662,663,2,0.54
31a,663,707,5,0.4
31a,707,710,5,0.38
31a,710,711,2,0.16
31a,711,715,2,0.33
31a,715,717,2,0.51
31a,717,719,2,0.7
31a,719,722,2,0.53
31a,722,750,2,0.98
31a,750,749,2,0.47
31a,749,746,2,0.44
31a,746,744,2,1.32
31a,744,743,2,0.65
31a,743,741,2,0.64
31a,741,740,2,0.21
31a,740,739,2,0.58
31a,739,738,2,0.42
31a,738,737,2,0.38
31a,737,991,2,0.29
31a,991,994,2,0.1
31a,994,1052,2,0.12
31a,1052,1051,2,0.12
31a,1051,1050,2,0.11
31a,1050,996,5,0.11
31b,996,995,2,0.11
31b,995,994,2,0.12
31b,994,991,2,0.1
31b,991,737,2,0.29
31b,737,738,2,0.38
31b,738,739,2,0.42
31b,739,740,2,0.58
31b,740,741,2,0.21
31b,741,743,2,0.64
31b,743,744,2,0.65
31b,744,746,2,1.32
31b,746,749,2,0.44
31b,749,750,2,0.47
31b,750,722,2,0.98
31b,722,719,2,0.53
31b,719,711,2,1.13
31b,711,710,2,0.16
31b,710,707,5,0.38
31b,707,663,5,0.4
31b,663,662,2,0.54
31b,662,661,2,0.41
31b,661,660,2,0.35
31b,660,666,5,0.54
31b,666,667,5,0.42
31b,667,609,5,0.58
32a,383,380,5,1.02
32a,380,324,5,1.5
32a,324,325,3,0.49
32a,325,409,3,1.01
32a,409,317,3,0.27
32a,317,316,3,0.64
32a,316,315,3,0.1
32a,315,312,3,0.22
32a,312,309,3,0.45
32a,309,302,3,0.44
32a,302,304,3,0.37
32a,304,412,3,0.38
32a,412,411,3,0.05
32a,411,410,3,0.1
32a,410,1034,3,0.18
32a,1034,1035,3,0.09
32a,1035,1036,3,0.22
32a,1036,1037,3,0.18
32a,1037,1038,3,0.17
32a,1038,1028,3,0.12
32a,1028,1027,3,0.08
32a,1027,1026,3,0.09
32a,1026,1025,3,0.24
32b,1025,1042,3,0.12
32b,1042,1041,3,0.12
32b,1041,1040,3,0.07
32b,1040,1039,3,0.07
32b,1039,1038,3,0.17
32b,1038,1037,3,0.17
32b,1037,1036,3,0.18
32b,1036,1035,3,0.22
32b,1035,1034,3,0.09
32b,1034,410,3,0.15
32b,410,411,3,0.1
32b,411,412,3,0.05
32b,412,304,3,0.38
32b,304,303,3,0.33
32b,303,310,3,0.66
32b,310,311,3,0.24
32b,311,316,3,0.22
32b,316,317,3,0.64
32b,317,409,3,0.27
32b,409,325,3,1.01
32b,325,324,3,0.49
32b,324,380,5,1.5
32b,380,383,5,1.02
33a,548,518,2,0.5
33a,518,517,2,0.75
33a,517,515,2,0.38
33a,515,514,2,0.81
33a,514,513,2,1.15
33a,513,512,2,0.18
33a,512,507,2,0.18
33a,507,506,2,0.4
33a,506,593,2,0.16
33a,593,592,5,0.16
33a,592,596,2,0.76
33a,596,888,2,0.27
33a,888,889,2,0.09
33a,889,893,2,0.31
33a,893,923,2,0.16
33a,923,922,5,0.21
33a,922,921,2,0.08
33a,921,920,2,0.14
33a,920,919,2,0.06
33a,919,918,2,0.11
33a,918,930,2,0.09
33a,930,938,2,0.1
33a,938,947,2,0.1
33a,947,967,2,0.1
33a,967,980,2,0.1
33a,980,1006,2,0.1
33a,1006,1019,2,0.05
33a,1019,1020,2,0.05
33a,1020,1026,2,0.1
33a,1026,1025,2,0.24
33a,1025,1023,2,0.08
33a,1023,1022,2,0.07
33a,1022,1002,2,0.12
33a,1002,984,2,0.08
33a,984,963,2,0.17
33a,963,953,2,0.17
33a,953,952,2,0.16
33a,952,933,2,0.08
33a,933,909,2,0.07
33a,909,910,2,0.17
33a,910,911,2,0.09
33a,911,912,2,0.12
33a,912,913,2,0.2
33a,913,738,2,0.26
33a,738,778,2,0.33
33a,778,777,2,0.24
33a,777,774,2,0.64
33a,774,773,2,0.36
33a,773,787,2,0.46
33a,787,809,2,0.17
33a,809,816,2,0.37
33a,816,824,2,0.44
33a,824,832,2,0.52
33a,832,847,2,0.76
33a,847,848,2,0.46
33a,848,855,2,0.6
33a,855,856,2,0.82
33a,856,857,2,0.94
33b,857,856,2,0.94
33b,856,855,2,0.82
33b,855,848,2,0.6
33b,848,847,2,0.46
33b,847,832,2,0.76
33b,832,824,2,0.52
33b,824,816,2,0.44
33b,816,809,2,0.37
33b,809,787,2,0.17
33b,787,773,2,0.46
33b,773,774,2,0.36
33b,774,777,2,0.64
33b,777,778,2,0.24
33b,778,738,2,0.33
33b,738,913,2,0.26
33b,913,912,2,0.2
33b,912,911,2,0.12
33b,911,910,2,0.09
33b,910,954,2,0.16
33b,954,955,2,0.16
33b,955,962,2,0.17
33b,962,986,2,0.16
33b,986,1001,2,0.08
33b,1001,1024,5,0.11
33b,1024,1023,5,0.2
33b,1023,1022,5,0.07
33b,1022,1021,2,0.13
33b,1021,1020,2,0.22
33b,1020,1019,2,0.05
33b,1019,1006,2,0.05
33b,1006,980,2,0.1
33b,980,967,2,0.1
33b,967,947,2,0.1
33b,947,938,2,0.1
33b,938,930,2,0.1
33b,930,918,2,0.09
33b,918,919,5,0.11
33b,919,920,5,0.06
33b,920,895,2,0.09
33b,895,894,2,0.16
33b,894,893,2,0.25
33b,893,889,2,0.31
33b,889,888,2,0.09
33b,888,596,2,0.27
33b,596,597,2,0.1
33b,597,593,2,0.85
33b,593,506,2,0.16
33b,506,507,2,0.4
33b,507,512,2,0.18
33b,512,513,2,0.18
33b,513,514,2,1.18
33b,514,515,2,0.81
33b,515,517,2,0.38
33b,517,518,2,0.75
33b,518,548,2,0.5
34a,442,441,2,0.45
34a,441,440,2,0.52
34a,440,439,2,0.17
34a,439,499,2,0.51
34a,499,501,2,0.38
34a,501,504,2,0.37
34a,504,509,2,0.3
34a,509,508,2,0.24
34a,508,507,2,0.33
34a,507,506,2,0.4
34a,506,593,2,0.16
34a,593,592,5,0.16
34a,592,596,2,0.76
34a,596,888,2,0.27
34a,888,889,2,0.09
34a,889,893,2,0.31
34a,893,923,2,0.16
34a,923,922,5,0.21
34a,922,921,2,0.08
34a,921,920,2,0.14
34a,920,919,2,0.06
34a,919,918,2,0.11
34a,918,930,2,0.09
34a,930,938,2,0.1
34a,938,947,2,0.1
34a,947,967,2,0.1
34a,967,980,2,0.1
34a,980,1006,2,0.1
34a,1006,1019,2,0.05
34a,1019,1020,2,0.05
34a,1020,1026,2,0.1
34a,1026,1025,2,0.24
34a,1025,1023,2,0.08
34a,1023,1022,2,0.07
34a,1022,1002,2,0.12
34a,1002,984,2,0.08
34a,984,963,2,0.17
34a,963,953,2,0.17
34a,953,952,2,0.16
34a,952,933,2,0.08
34a,933,909,2,0.07
34a,909,910,2,0.17
34a,910,911,2,0.09
34a,911,912,2,0.12
34a,912,913,2,0.2
34a,913,738,2,0.26
34a,738,778,2,0.33
34a,778,777,2,0.24
34a,777,774,2,0.64
34a,774,773,2,0.36
34a,773,787,2,0.46
34a,787,809,2,0.17
34a,809,816,2,0.37
34a,816,824,2,0.44
34a,824,832,2,0.52
34a,832,847,2,0.76
34a,847,848,2,0.46
34a,848,855,2,0.6
34a,855,856,2,0.82
34a,856,857,2,0.94
34b,857,856,2,0.94
34b,856,855,2,0.82
34b,855,848,2,0.6
34b,848,847,2,0.46
34b,847,832,2,0.76
34b,832,824,2,0.52
34b,824,816,2,0.44
34b,816,809,2,0.37
34b,809,787,2,0.17
34b,787,773,2,0.46
34b,773,774,2,0.36
34b,774,777,2,0.64
34b,777,778,2,0.24
34b,778,738,2,0.33
34b,738,913,2,0.26
34b,913,912,2,0.2
34b,912,911,2,0.12
34b,911,910,2,0.09
34b,910,954,2,0.16
34b,954,955,2,0.16
34b,955,962,2,0.17
34b,962,986,2,0.16
34b,986,1001,2,0.08
34b,1001,1024,5,0.11
34b,1024,1023,5,0.2
34b,1023,1022,2,0.07
34b,1022,1021,2,0.13
34b,1021,1020,2,0.22
34b,1020,1019,2,0.05
34b,1019,1006,2,0.05
34b,1006,980,2,0.1
34b,980,967,2,0.1
34b,967,947,2,0.1
34b,947,938,2,0.1
34b,938,930,2,0.1
34b,930,918,2,0.09
34b,918,919,5,0.11
34b,919,920,5,0.06
34b,920,895,2,0.09
34b,895,894,2,0.16
34b,894,893,2,0.25
34b,893,889,2,0.31
34b,889,888,2,0.09
34b,888,596,2,0.27
34b,596,597,2,0.1
34b,597,593,2,0.85
34b,593,506,2,0.16
34b,506,507,2,0.4
34b,507,508,2,0.33
34b,508,509,2,0.24
34b,509,504,2,0.3
34b,504,501,2,0.37
34b,501,499,2,0.38
34b,499,439,2,0.51
34b,439,440,2,0.17
34b,440,441,2,0.52
34b,441,442,2,0.45
35ae,841,844,5,0.53
35ae,844,843,5,1.25
35ae,843,845,5,0.51
35ae,845,836,2,0.77
35ae,836,822,2,0.32
35ae,822,820,2,0.21
35ae,820,819,2,0.44
35ae,819,806,2,0.37
35ae,806,790,2,0.18
35ae,790,765,1,0.41
35ae,765,766,1,0.21
35ae,766,767,1,0.28
35ae,767,768,1,0.22
35ae,768,743,1,0.38
35ae,743,736,1,0.51
35ae,736,729,1,0.42
35ae,729,730,1,0.28
35ae,730,731,1,0.22
35ae,731,732,1,0.3
35ae,732,883,1,0.28
35ae,883,884,1,0.1
35ae,884,908,1,0.5
35ae,908,914,1,0.06
35ae,914,934,1,0.11
35ae,934,951,1,0.09
35ae,951,950,1,0.03
35ae,950,949,1,0.29
35ae,949,965,1,0.1
35ae,965,982,2,0.1
35ae,982,1003,2,0.04
35ae,1003,1004,2,0.05
35ae,1004,1022,2,0.11
35ae,1022,1021,2,0.13
35be,1021,1005,2,0.1
35be,1005,981,2,0.1
35be,981,966,2,0.11
35be,966,965,2,0.2
35be,965,964,1,0.19
35be,964,963,1,0.1
35be,963,953,1,0.17
35be,953,952,1,0.16
35be,952,933,1,0.08
35be,933,909,1,0.07
35be,909,881,1,0.5
35be,881,882,1,0.1
35be,882,732,1,0.17
35be,732,731,1,0.3
35be,731,730,1,0.22
35be,730,729,1,0.28
35be,729,736,1,0.42
35be,736,743,1,0.51
35be,743,768,1,0.38
35be,768,767,1,0.22
35be,767,766,1,0.28
35be,766,765,1,0.21
35be,765,790,2,0.41
35be,790,806,2,0.18
35be,806,819,2,0.37
35be,819,820,2,0.44
35be,820,822,2,0.21
35be,822,836,2,0.32
35be,836,845,2,0.77
35be,845,843,5,0.51
35be,843,844,5,1.25
35be,844,841,5,0.53
36a,430,431,5,0.69
36a,431,425,5,0.93
36a,425,432,5,0.53
36a,432,433,5,0.36
36a,433,435,5,0.29
36a,435,441,1,1.23
36a,441,442,1,0.45
36b,442,441,1,0.45
36b,441,435,1,1.23
36b,435,433,5,0.29
36b,433,432,5,0.36
36b,432,425,5,0.53
36b,425,431,5,0.93
36b,431,430,5,0.69
37a,801,800,3,0.56
37a,800,839,3,1
37a,839,838,3,0.45
37a,838,837,3,0.73
37a,837,804,5,0.99
37a,804,819,5,0.38
37a,819,818,3,0.68
37a,818,817,3,0.59
37a,817,816,3,0.61
37a,816,815,3,0.2
37a,815,814,3,0.4
37a,814,813,3,0.53
37a,813,811,3,0.25
37a,811,784,3,0.29
37a,784,781,3,0.47
37a,781,782,3,0.35
37a,782,783,3,0.12
37a,783,1054,3,0.07
37a,1054,1053,3,0.18
37a,1053,1052,3,0.24
37a,1052,1051,3,0.12
37a,1051,1050,3,0.11
37a,1050,1047,3,0.07
37a,1047,1046,3,0.09
37a,1046,1045,3,0.07
37a,1045,1044,3,0.11
37a,1044,1043,3,0.1
37a,1043,1042,3,0.18
37a,1042,1025,3,0.12
37a,1025,1021,3,0.1
37a,1021,1005,3,0.1
37a,1005,981,3,0.1
37a,981,966,3,0.11
37a,966,948,3,0.1
37a,948,937,3,0.1
37a,937,931,3,0.1
37a,931,917,3,0.1
37a,917,916,3,0.27
37a,916,902,3,0.12
37a,902,905,3,0.2
37a,905,906,3,0.15
37a,906,907,3,0.35
37a,907,885,3,0.1
37a,885,697,3,0.1
37a,697,698,3,0.29
37a,698,689,3,0.34
37a,689,688,3,0.71
37a,688,687,3,0.24
37a,687,682,3,0.16
37a,682,681,3,0.44
37a,681,703,3,0.37
37a,703,713,3,0.35
37a,713,714,3,0.4
37a,714,715,3,0.19
37a,715,711,3,0.33
37a,711,710,3,0.16
37a,710,709,3,0.72
37b,709,710,3,0.72
37b,710,711,3,0.16
37b,711,715,3,0.33
37b,715,714,3,0.19
37b,714,716,3,0.36
37b,716,703,3,0.39
37b,703,681,3,0.37
37b,681,682,3,0.44
37b,682,687,3,0.16
37b,687,688,3,0.24
37b,688,689,3,0.71
37b,689,698,3,0.34
37b,698,697,3,0.29
37b,697,885,3,0.1
37b,885,907,3,0.1
37b,907,906,3,0.35
37b,906,915,3,0.11
37b,915,932,3,0.29
37b,932,931,3,0.26
37b,931,937,3,0.1
37b,937,948,3,0.1
37b,948,966,3,0.1
37b,966,981,3,0.11
37b,981,1005,3,0.1
37b,1005,1021,3,0.1
37b,1021,1025,3,0.1
37b,1025,1042,3,0.12
37b,1042,1043,3,0.18
37b,1043,1044,3,0.1
37b,1044,1045,3,0.11
37b,1045,1046,3,0.07
37b,1046,1047,3,0.09
37b,1047,1050,3,0.07
37b,1050,1051,3,0.11
37b,1051,1052,3,0.12
37b,1052,1053,3,0.24
37b,1053,1054,3,0.18
37b,1054,783,3,0.07
37b,783,782,3,0.12
37b,782,781,3,0.35
37b,781,784,3,0.47
37b,784,811,3,0.29
37b,811,813,3,0.25
37b,813,814,3,0.53
37b,814,815,3,0.4
37b,815,816,3,0.2
37b,816,817,3,0.61
37b,817,818,3,0.59
37b,818,819,3,0.68
37b,819,804,5,0.38
37b,804,837,5,0.99
37b,837,838,3,0.73
37b,838,839,3,0.45
37b,839,800,3,1
37b,800,801,3,0.56
38ae,628,632,5,1.1
38ae,632,638,5,1.08
38ae,638,639,3,0.44
38ae,639,640,3,0.84
38ae,640,648,3,0.76
38ae,648,649,3,0.33
38ae,649,651,3,0.88
38ae,651,653,3,0.57
38ae,653,656,3,1.17
38ae,656,658,3,0.53
38ae,658,659,3,0.84
38ae,659,667,3,0.54
38ae,667,669,3,0.34
38ae,669,670,3,0.36
38ae,670,607,3,0.37
38ae,607,606,1,0.37
38ae,606,605,1,0.14
38ae,605,604,1,0.24
38ae,604,603,1,0.46
38ae,603,602,1,0.16
38ae,602,601,1,0.58
38ae,601,600,1,0.42
38ae,600,599,1,0.36
38ae,599,598,1,0.35
38ae,598,887,1,0.15
38ae,887,899,1,0.22
38ae,899,898,1,0.17
38ae,898,901,1,0.27
38ae,901,917,3,0.1
38ae,917,931,3,0.1
38ae,931,937,3,0.1
38ae,937,948,3,0.1
38ae,948,966,3,0.1
38ae,966,981,3,0.11
38ae,981,1005,3,0.1
38ae,1005,1021,3,0.1
38ae,1021,1025,3,0.1
38ae,1025,1042,3,0.12
38ae,1042,1043,3,0.18
38ae,1043,1044,3,0.1
38ae,1044,1045,3,0.11
38ae,1045,1046,3,0.07
38ae,1046,1047,3,0.09
38ae,1047,1050,3,0.07
38ae,1050,1049,5,0.19
38ae,1049,1048,5,0.19
38be,1048,1046,5,0.16
38be,1046,1045,3,0.07
38be,1045,1044,3,0.11
38be,1044,1043,3,0.1
38be,1043,1042,3,0.18
38be,1042,1025,3,0.12
38be,1025,1021,3,0.1
38be,1021,1005,3,0.1
38be,1005,981,3,0.1
38be,981,966,3,0.11
38be,966,948,3,0.1
38be,948,937,3,0.1
38be,937,931,3,0.1
38be,931,917,3,0.1
38be,917,901,3,0.1
38be,901,898,1,0.27
38be,898,899,1,0.17
38be,899,887,1,0.21
38be,887,598,1,0.15
38be,598,599,1,0.35
38be,599,600,1,0.36
38be,600,601,1,0.42
38be,601,602,1,0.58
38be,602,603,1,0.16
38be,603,604,1,0.46
38be,604,605,1,0.24
38be,605,606,1,0.14
38be,606,607,1,0.37
38be,607,670,3,0.37
38be,670,669,3,0.36
38be,669,667,3,0.34
38be,667,659,3,0.54
38be,659,658,3,0.84
38be,658,656,3,0.53
38be,656,653,3,1.17
38be,653,651,3,0.57
38be,651,649,3,0.88
38be,649,648,3,0.33
38be,648,640,3,0.76
38be,640,639,3,0.84
38be,639,638,3,0.44
38be,638,632,5,1.08
38be,632,628,5,1.1
39a,210,211,5,0.42
39a,211,212,5,0.49
39a,212,193,5,0.99
39a,193,177,5,0.84
39a,177,176,5,0.37
39a,176,175,5,0.48
39a,175,174,5,0.45
39a,174,195,5,1.05
39a,195,215,5,0.72
39a,215,216,3,0.22
39a,216,231,3,0.23
39a,231,232,3,0.98
39a,232,233,3,0.53
39a,233,239,5,0.56
39a,239,245,5,0.8
39a,245,246,5,0.21
39a,246,247,3,0.26
39a,247,248,3,0.73
39a,248,250,3,0.48
39a,250,252,5,0.79
39a,252,279,5,1.18
39a,279,275,5,1.63
39a,275,262,3,0.19
39a,262,263,5,1.14
39b,263,262,5,1.14
39b,262,275,3,0.19
